epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,5516.33,0.17333,0.39084,0.98817,0.99228,0.99016,0.99245,0.97324,0.22744,0.19471,0.61547,6.7184e-05,6.7184e-05,6.7184e-05
42,5651,0.16526,0.35681,0.98326,0.99012,0.99285,0.99225,0.97385,0.22843,0.20631,0.61674,6.07886e-05,6.07886e-05,6.07886e-05
43,5785.23,0.16184,0.32912,0.97766,0.99197,0.9953,0.99273,0.97555,0.21869,0.18625,0.60518,5.43932e-05,5.43932e-05,5.43932e-05
44,5919.54,inf,0.32052,0.97268,0.99085,0.99351,0.99279,0.97767,0.21666,0.18482,0.60209,4.79978e-05,4.79978e-05,4.79978e-05
45,6053.67,0.15087,0.31434,0.9682,0.99313,0.99559,0.99297,0.97804,0.21252,0.17987,0.59758,4.16024e-05,4.16024e-05,4.16024e-05
46,6187.95,0.14905,0.31211,0.96972,0.99317,0.99202,0.99326,0.97576,0.22317,0.19558,0.61071,3.5207e-05,3.5207e-05,3.5207e-05
47,6322.02,0.14774,0.30858,0.96414,0.99125,0.99327,0.99323,0.97607,0.22256,0.19424,0.60469,2.88116e-05,2.88116e-05,2.88116e-05
48,6456.11,0.14491,0.3046,0.96222,0.98888,0.99387,0.9935,0.97619,0.22168,0.19054,0.60453,2.24162e-05,2.24162e-05,2.24162e-05
49,6590.26,0.14149,0.30181,0.95877,0.9919,0.99579,0.99337,0.9767,0.22044,0.19163,0.60279,1.60208e-05,1.60208e-05,1.60208e-05
50,6724.04,0.14233,0.30101,0.96076,0.99159,0.99517,0.99371,0.9776,0.21911,0.18958,0.60135,9.6254e-06,9.6254e-06,9.6254e-06
